ID,E-W,N-S,SPAD
277,716666.274,7695258.621,63.3
278,716668.517,7695260.218,64
279,716671.017,7695262.139,62.7
280,716673.696,7695263.948,65.4
281,716676.064,7695266.67,64.7
282,716678.01,7695269.009,65.7
283,716680.899,7695272.01,63.8
284,716684.166,7695275.454,62.8
285,716685.365,7695277.889,64.6
286,716687.695,7695281.139,59.4
287,716689.107,7695284.568,66.3
288,716691.034,7695287.521,59.2
289,716692.25,7695290.185,63.8
290,716693.398,7695293.971,66.7
291,716695.347,7695297.478,63.1
292,716695.66,7695300.428,64.8
293,716696.799,7695303.679,63.7
294,716698.306,7695306.436,60.9
295,716698.306,7695309.436,64.4
296,716699.083,7695313.09,63.6
297,716698.961,7695316.201,61
298,716699.553,7695319.654,64.8
299,716699.28,7695323.024,61.2
300,716699.597,7695326.456,64.8
301,716699.259,7695330.127,67.3
302,716699.15,7695332.701,65.5
303,716697.906,7695336.631,58.3
304,716697.007,7695339.791,62.5
305,716696.533,7695343.095,67.2
306,716695.901,7695346.096,63.4
307,716695.033,7695348.603,63.1
308,716688.002,7695349.648,64.5
309,716686.857,7695353.138,64.7
310,716685.147,7695355.587,61.3
311,716682.792,7695358.898,65
312,716681.505,7695361.848,64.8
313,716679.026,7695363.849,64
314,716675.987,7695367.109,64.4
315,716673.353,7695370.101,64.8
316,716671.912,7695372.078,67.1
317,716669.683,7695373.448,59.9
318,716667.668,7695375.022,63.8
319,716664.843,7695376.461,59.3
320,716663.027,7695378.446,64.7
321,716660.615,7695380.278,61.6
322,716656.547,7695382.585,66.4
323,716653.129,7695384.318,66
324,716650.458,7695385.557,64
325,716647.821,7695386.477,65.7
326,716644.076,7695387.31,66
327,716641.43,7695387.669,59
328,716638.391,7695388.796,60.7
329,716634.983,7695389.616,62.5
330,716631.107,7695389.662,64.5
331,716626.768,7695389.841,61.3
332,716622.891,7695389.603,61.6
333,716619.253,7695390.068,64
334,716615.784,7695389.395,65.4
335,716612.294,7695389.146,60.3
336,716610.474,7695388.692,66.6
337,716607.384,7695387.815,63.8
338,716603.883,7695387.293,63.5
339,716600.133,7695385.872,64.6
340,716596.855,7695384.446,66.5
341,716593.844,7695382.822,61.2
342,716589.319,7695382.17,64.5
343,716587.683,7695379.438,62.6
344,716584.699,7695377.959,62.1
345,716580.908,7695376.513,65.5
346,716579.642,7695373.58,64.3
347,716577.064,7695371.663,67.1
348,716574.396,7695369.175,66.7
349,716572.083,7695367.155,67.5
350,716570.537,7695363.639,61
351,716568.103,7695361.347,62.6
352,716566.53,7695358.179,63
353,716564.714,7695355.382,62.6
354,716563.065,7695353.043,61.1
355,716561.672,7695350.211,59
356,716560.261,7695346.624,60.1
357,716558.94,7695343.342,62
358,716558.151,7695341.06,60.8
359,716556.928,7695336.786,65
360,716556.513,7695333.282,64.5
361,716555.772,7695329.646,63.1
362,716555.203,7695326.877,59.8
363,716555.092,7695324.2,65
364,716555.052,7695321.058,65.3
365,716555.405,7695317.963,63
366,716555.354,7695314.448,66.9
367,716555.851,7695311.028,61.1
368,716556.676,7695307.841,65.4
369,716557.223,7695303.494,60.9
370,716557.906,7695301.693,65.5
371,716558.878,7695298.247,60.5
372,716560.174,7695294.92,64.9
373,716561.599,7695292.279,61.8
374,716562.89,7695288.731,62.1
375,716564.677,7695286.093,62.4
376,716565.621,7695283.137,64.2
377,716567.253,7695280.378,64.7
378,716570.015,7695277.779,63.3
379,716571.935,7695275.81,63.2
380,716574.307,7695273.427,60.8
381,716576.903,7695271.058,62.8
382,716578.138,7695269.152,62
383,716581.44,7695267.856,62.7
384,716584.205,7695264.894,64.6
385,716586.559,7695262.418,61.9
387,716589.737,7695261.342,60.7
388,716593.019,7695259.757,59.2
389,716595.463,7695258.327,63.8
390,716598.389,7695257.334,56.7
391,716601.575,7695255.948,64.6
392,716603.836,7695255.083,61.2
393,716606.801,7695254.364,62.2
394,716609.54,7695253.425,52.7
395,716613.15,7695252.895,66.1
396,716616.743,7695252.602,55.8
397,716620.228,7695252.124,61.1
398,716623.405,7695252.035,64.3
399,716626.177,7695251.766,60.1
400,716629.349,7695251.965,61.7
401,716633.281,7695252.72,61.3
402,716636.698,7695253.157,63.9
403,716639.412,7695253.755,64
404,716643.526,7695253.709,60.1
405,716645.918,7695255.6,59.4
406,716648.94,7695256.663,65.9
407,716652.048,7695257.8,60.8
408,716654.783,7695259.34,59.6
409,716658.042,7695260.951,59.2
410,716660.681,7695262.557,61.1
411,716663.556,7695264.329,65.4
412,716666.195,7695265.928,64.2
413,716668.826,7695267.439,62.6
414,716671.375,7695270.55,61.2
415,716673.178,7695271.965,59
416,716675.109,7695274.257,66.9
417,716676.944,7695275.904,62.3
418,716678.875,7695278.587,64.7
419,716681.453,7695281.262,62.3
420,716683.681,7695284.159,61.1
421,716684.208,7695287.251,62.4
422,716686.547,7695290.295,64.6
423,716687.635,7695293.144,66.3
424,716688.926,7695295.756,63.8
425,716689.669,7695298.3,64.2
426,716690.731,7695300.488,60.2
427,716691.583,7695303.778,61.9
428,716692.203,7695306.692,67.9
429,716692.234,7695309.492,65.7
430,716693.294,7695312.974,62.4
431,716694.05,7695315.642,65.7
432,716693.893,7695318.524,66.3
433,716693.943,7695321.819,65.1
434,716694.213,7695324.453,62
435,716693.823,7695327.789,64.1
436,716693.776,7695332.379,64.1
437,716692.717,7695335.911,63
438,716691.771,7695339.461,64.9
439,716691.216,7695342.369,63.5
440,716690.253,7695344.805,66.2
441,716689.551,7695348.158,64.2
442,716682.952,7695347.071,59.9
443,716681.407,7695349.376,62.5
444,716679.775,7695353.299,67
445,716677.448,7695355.835,60.2
446,716675.415,7695357.918,71
447,716673.74,7695360.759,68.3
448,716671.32,7695363.165,61.6
449,716667.751,7695367.352,65.9
450,716667.301,7695367.687,61.4
451,716663.164,7695371.875,60.8
452,716662.308,7695371.819,64.8
453,716658.79,7695375.189,61.4
454,716656.826,7695375.252,62.1
455,716653.663,7695376.946,64.2
456,716650.318,7695378.736,60.5
457,716647.038,7695380.072,64.6
458,716643.833,7695380.619,59.5
459,716640.223,7695381.885,61.5
460,716636.57,7695384.234,64.5
461,716633.309,7695384.569,60.5
462,716630.512,7695385.264,62.9
463,716627.927,7695384.015,59
