Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.03786333,-22.67321499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,2.9560000000000004
-51.03786666,-22.67321666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,5.119
-51.03787499,-22.67321833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,9.448
-51.0379,-22.67321833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,1.8869999999999998
-51.037929999999996,-22.67320833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.9560000000000004
-51.03795833,-22.67319999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,5.156000000000001
-51.03798833,-22.67318499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,3.218
-51.03801166,-22.67317166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,6.04
-51.03803833,-22.67315333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,4.7780000000000005
-51.03807333,-22.67313666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.478
-51.03809333,-22.67311833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,2.542
-51.03811333,-22.67310833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,8.343
-51.03813166,-22.67309,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,2.49
-51.03815166,-22.673070000000003,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,4.22
-51.03817166,-22.67304,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,2.946
-51.03817333,-22.67302166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,3.2039999999999997
-51.03817666,-22.67299666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,6.914
-51.03819166,-22.67296833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,6.962000000000001
-51.03821166,-22.67294833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,7.402
-51.03824666,-22.67292666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,4.2860000000000005
-51.03828499,-22.67289833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,3.6239999999999997
-51.03832666,-22.67288666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,6.507999999999999
-51.03836333,-22.67285166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,3.536
-51.03840333,-22.67282499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,3.052
-51.03843499,-22.67279833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,3.12
-51.03846833,-22.67278499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,2.6689999999999996
-51.03849666,-22.67278333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.8930000000000002
-51.03853166,-22.67279499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.11,3.302
-51.03856666,-22.67277666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,3.156
-51.03859333,-22.67276999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,5.073
-51.03861499,-22.67274333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,2.718
-51.03862,-22.67272499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,6.096
-51.03863166,-22.67269833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.037
